WS_client_id,WS_Account_code,TRANDATE,SETDATE,Tran_Type,Tran_Desc,Security_Type,Security_Type_Description,DETAILTYPENAME,ISIN,Security_code,Security_Name,EXCHG,BROKERCODE,Depository_Registrar,DPID_AMC,Dp_Client_id_Folio,BANKCODE,BANKACID,QTY,RATE,BROKERAGE,SERVICETAX,NETRATE,Net_Amount,STT,TRFDATE,TRFRATE,TRFAMT,TOTAL_TRXN_FEE,TOTAL_TRXN_FEE_STAX,Txn_Ref_No,DESCMEMO,CHEQUENO,CHEQUEDTL,PORTFOLIOID,DELIVERYDATE,PAYMENTDATE,ACCRUEDINTEREST,ISSUER,ISSUERNAME,TDSAMOUNT,STAMPDUTY,TPMSGAIN,RMID,RMNAME,ADVISORID,ADVISORNAME,BRANCHID,BRANCHNAME,GROUPID,GROUPNAME,OWNERID,OWNERNAME,WEALTHADVISOR_NAME,SCHEMEID,SCHEMENAME,executionPriority
CL0009,ACC0009,02-07-2024,02-08-2024,Sl+,Sl+ transaction,Equity,Equity Share,Listed Equity,IN2187594516,BRITAN79,BRITANNIA,BSE,UPSTOX,NSDL,DP001,CL0013,SBI,AC966712,219,2761.19,604.7,108.85,2761.19,604700.61,151.18,02-08-2024,2761.19,604700.61,907.05,108.85,TXN88040294,Generated transaction,389075,02-07-2024,PF8,02-08-2024,02-08-2024,0,BRITANNIA,BRITANNIA LTD,0,60.47,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Balanced,3
CL0013,ACC0013,9/28/2024,10-01-2024,Cs+,Cs+ transaction,Equity,Equity Share,Listed Equity,IN3860394827,DABUR52,DABUR,BSE,ICICI_DIRECT,NSDL,DP001,CL0013,SBI,AC309581,371,2148.31,797.02,143.46,2148.31,797023.01,199.26,10-01-2024,2148.31,797023.01,1195.53,143.46,TXN99784339,Generated transaction,298009,9/28/2024,PF9,10-01-2024,10-01-2024,0,DABUR,DABUR LTD,0,79.7,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,3,Balanced,4
CL0012,ACC0012,2/29/2024,03-01-2024,DIS,DIS transaction,Equity,Equity Share,Listed Equity,IN6630942298,POWERG67,POWERGRID,NSE,UPSTOX,NSDL,DP001,CL0009,ICICI,AC450213,159,467.81,74.38,13.39,467.81,74381.79,18.6,03-01-2024,467.81,74381.79,111.57,13.39,TXN94852968,Generated transaction,198665,2/29/2024,PF3,03-01-2024,03-01-2024,0,POWERGRID,POWERGRID LTD,0,7.44,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Balanced,4
CL0012,ACC0012,11/14/2024,11/15/2024,Cs+,Cs+ transaction,Equity,Equity Share,Listed Equity,IN3816830313,ASIANP72,ASIANPAINT,NSE,ICICI_DIRECT,NSDL,DP001,CL0001,ICICI,AC749557,360,1214.87,437.35,78.72,1214.87,437353.2,109.34,11/15/2024,1214.87,437353.2,656.03,78.72,TXN50168900,Generated transaction,787620,11/14/2024,PF8,11/15/2024,11/15/2024,0,ASIANPAINT,ASIANPAINT LTD,0,43.74,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Growth,5
CL0004,ACC0004,09-02-2024,09-03-2024,CS-,CS- transaction,Equity,Equity Share,Listed Equity,IN3268679493,ITC34,ITC,NSE,HDFC_SEC,NSDL,DP001,CL0011,HDFC,AC708277,379,3467.06,1314.02,236.52,3467.06,1314015.74,328.5,09-03-2024,3467.06,1314015.74,1971.02,236.52,TXN95722788,Generated transaction,799618,09-02-2024,PF3,09-03-2024,09-03-2024,0,ITC,ITC LTD,0,131.4,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,2,Dividend,5
CL0003,ACC0003,05-01-2024,05-04-2024,CUS,CUS transaction,Equity,Equity Share,Listed Equity,IN1629208356,PIDILI32,PIDILITIND,BSE,HDFC_SEC,NSDL,DP001,CL0005,AXIS,AC775964,110,1874.52,206.2,37.12,1874.52,206197.2,51.55,05-04-2024,1874.52,206197.2,309.3,37.12,TXN52895439,Generated transaction,635082,05-01-2024,PF8,05-04-2024,05-04-2024,0,PIDILITIND,PIDILITIND LTD,0,20.62,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Growth,2
CL0002,ACC0002,9/16/2024,9/19/2024,MGF,MGF transaction,Equity,Equity Share,Listed Equity,IN2233309783,JSWSTE51,JSWSTEEL,BSE,UPSTOX,NSDL,DP001,CL0012,SBI,AC023946,238,165.25,39.33,7.08,165.25,39329.5,9.83,9/19/2024,165.25,39329.5,58.99,7.08,TXN84151057,Generated transaction,299622,9/16/2024,PF7,9/19/2024,9/19/2024,0,JSWSTEEL,JSWSTEEL LTD,0,3.93,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Dividend,1
CL0004,ACC0004,04-06-2024,04-07-2024,E10,E10 transaction,Equity,Equity Share,Listed Equity,IN7466950308,ICICIB51,ICICIBANK,BSE,UPSTOX,NSDL,DP001,CL0010,SBI,AC799351,385,1786.52,687.81,123.81,1786.52,687810.2,171.95,04-07-2024,1786.52,687810.2,1031.72,123.81,TXN93864127,Generated transaction,115599,04-06-2024,PF4,04-07-2024,04-07-2024,0,ICICIBANK,ICICIBANK LTD,0,68.78,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Balanced,3
CL0009,ACC0009,5/26/2024,5/28/2024,D10,D10 transaction,Equity,Equity Share,Listed Equity,IN3540919089,NTPC48,NTPC,BSE,UPSTOX,NSDL,DP001,CL0014,ICICI,AC291929,406,2524.37,1024.89,184.48,2524.37,1024894.22,256.22,5/28/2024,2524.37,1024894.22,1537.34,184.48,TXN39577780,Generated transaction,806768,5/26/2024,PF8,5/28/2024,5/28/2024,0,NTPC,NTPC LTD,0,102.49,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Balanced,4
CL0018,ACC0018,08-07-2024,08-08-2024,OI1,OI1 transaction,Equity,Equity Share,Listed Equity,IN2187594516,BRITAN79,BRITANNIA,BSE,ZERODHA,NSDL,DP001,CL0008,SBI,AC893553,62,3084.59,191.24,34.42,3084.59,191244.58,47.81,08-08-2024,3084.59,191244.58,286.87,34.42,TXN32373841,Generated transaction,178732,08-07-2024,PF2,08-08-2024,08-08-2024,0,BRITANNIA,BRITANNIA LTD,0,19.12,0,RM01,Relationship Manager,ADV01,Advisor Name,BR01,Main Branch,GRP1,Premium,OWN1,Owner Name,Wealth Advisor,1,Dividend,5
